"Date","Price","Open","High","Low","Change %"
"Feb 24","718.930","693.460","726.650","693.460","3.93%"
"Jan 24","691.740","681.600","697.000","680.850","2.12%"
"Dec 23","677.380","646.840","677.460","646.840","5.62%"
"Nov 23","641.320","613.620","648.910","613.620","4.72%"
"Oct 23","612.420","626.600","649.740","607.110","-2.65%"
"Sep 23","629.070","647.410","651.860","629.070","-3.73%"
"Aug 23","653.470","644.490","654.340","630.460","1.41%"
"Jul 23","644.410","633.490","651.730","615.450","2.94%"
"Jun 23","626.010","618.390","639.080","618.390","1.72%"
"May 23","615.420","638.620","643.590","615.420","-3.92%"
"Apr 23","640.550","620.800","649.790","620.800","3.94%"
"Mar 23","616.260","598.670","616.260","586.240","2.47%"
"Feb 23","601.400","620.880","623.290","601.400","-2.24%"
"Jan 23","615.180","611.880","621.470","603.770","0.12%"
"Dec 22","614.440","633.600","636.960","608.270","-0.65%"
"Nov 22","618.460","596.160","624.200","587.390","3.29%"
"Oct 22","598.740","546.780","598.740","546.780","8.99%"
"Sep 22","549.370","571.760","591.900","536.410","-4.30%"
"Aug 22","574.040","607.200","609.390","574.040","-5.90%"
"Jul 22","610.050","584.390","612.100","581.870","4.23%"
"Jun 22","585.270","598.010","598.010","544.400","-3.18%"
"May 22","604.510","603.620","612.480","563.650","-0.54%"
"Apr 22","607.810","642.820","668.020","607.810","-6.53%"
"Mar 22","650.270","617.620","650.270","595.470","5.43%"
"Feb 22","616.770","620.330","635.580","597.160","0.46%"
"Jan 22","613.970","680.010","680.010","600.920","-9.99%"
"Dec 21","682.140","629.590","682.790","629.590","6.85%"
"Nov 21","638.410","650.400","660.580","635.210","-1.40%"
"Oct 21","647.450","612.410","647.450","605.080","5.20%"
"Sep 21","615.440","651.260","660.110","613.320","-5.69%"
"Aug 21","652.590","636.880","655.160","636.880","2.47%"
"Jul 21","636.880","609.830","637.240","609.830","4.14%"
"Jun 21","611.590","587.430","611.590","584.970","3.67%"
"May 21","589.960","583.330","589.960","571.940","1.88%"
"Apr 21","579.060","549.180","586.140","549.180","5.89%"
"Mar 21","546.850","543.300","553.080","525.490","1.91%"
"Feb 21","536.580","551.590","564.200","536.580","-1.96%"
"Jan 21","547.290","547.260","567.150","545.070","0.48%"
"Dec 20","544.670","527.250","544.670","527.250","3.03%"
"Nov 20","528.630","491.610","536.890","491.610","6.25%"
"Oct 20","497.520","511.560","529.880","497.520","-2.04%"
"Sep 20","507.870","520.420","529.010","497.180","-1.23%"
"Aug 20","514.170","505.480","514.840","503.340","1.10%"
"Jul 20","508.590","480.900","512.090","480.900","6.88%"
"Jun 20","475.840","487.000","488.180","463.790","-2.14%"
"May 20","486.240","455.100","486.240","455.100","5.98%"
"Apr 20","458.800","412.170","464.320","399.820","10.59%"
"Mar 20","414.850","444.840","460.670","349.180","-3.21%"
"Feb 20","428.600","451.760","473.320","428.600","-6.51%"
"Jan 20","458.460","458.390","473.140","456.060","0.25%"
"Dec 19","457.330","448.300","459.920","447.430","1.36%"
"Nov 19","451.210","430.970","452.320","429.800","4.34%"
"Oct 19","432.430","407.220","432.430","397.120","6.82%"
"Sep 19","404.840","407.490","415.570","404.840","-0.79%"
"Aug 19","408.080","410.740","413.720","402.250","-1.77%"
"Jul 19","415.430","416.220","421.640","413.160","0.22%"
"Jun 19","414.500","391.970","418.620","391.970","5.54%"
"May 19","392.730","400.090","404.540","391.540","-1.81%"
"Apr 19","399.970","414.680","414.970","391.480","-3.42%"
"Mar 19","414.130","410.830","418.690","402.100","0.18%"
"Feb 19","413.390","405.590","415.740","401.360","3.00%"
"Jan 19","401.350","378.680","401.350","372.660","7.20%"